NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1991-02-01 00:00:00;;1017;0.5;5.4;3.6;-2.1;6.2;20;7;80;0;28;28;28;28;28;;;;;8;19;1;;;;8;8;1;0;12;0;0;2;3;9;9.8;1991-02-23 00:00:00;-10.3;1991-02-07 00:00:00;15.2;1991-02-24 00:00:00;-12.7;1991-02-07 00:00:00;8.8;1991-02-10 00:00:00;18;1991-02-22 00:00:00;;;6;18
07015;1991-02-01 00:00:00;;;0.5;;;;;25;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07020;1991-02-01 00:00:00;;1016;4.6;3.5;6.4;2.4;7.5;32;9;;0;0;28;0;28;0;;;;;;;2;;;;;;;;26;6;0;0;0;4;10;1991-02-23 00:00:00;-4.1;1991-02-07 00:00:00;13.4;1991-02-25 00:00:00;-6.2;1991-02-07 00:00:00;9.6;1991-02-22 00:00:00;24;1991-02-22 00:00:00;;;6;18
07027;1991-02-01 00:00:00;;;2.1;;;;;20;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07037;1991-02-01 00:00:00;997.9;1017.6;-0.1;5.5;3.3;-3;5.7;34;5;80;28;28;28;28;28;28;;;;;9;20;3;1;0;;10;10;6;0;14;0;0;0;1;11;8.9;1991-02-23 00:00:00;-10.9;1991-02-07 00:00:00;15.9;1991-02-24 00:00:00;-13.4;1991-02-07 00:00:00;10;1991-02-10 00:00:00;18;1991-02-22 00:00:00;;;6;18
07110;1991-02-01 00:00:00;;;4;;;;;80;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1991-02-01 00:00:00;1007.1;1018.4;1;5.6;4.9;-2.1;5.9;18;5;;28;28;28;28;28;0;;;;;6;20;1;;;;5;4;;;14;0;0;0;3;5;9.8;1991-02-26 00:00:00;-9.6;1991-02-07 00:00:00;16.8;1991-02-24 00:00:00;-12.3;1991-02-07 00:00:00;6.7;1991-02-27 00:00:00;19;1991-02-15 00:00:00;;;6;18
07190;1991-02-01 00:00:00;;;-1.3;;;;;12;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07222;1991-02-01 00:00:00;;;2.6;;;;;41;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07255;1991-02-01 00:00:00;;;1.5;;;;;45;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07280;1991-02-01 00:00:00;;;-0.5;;;;;22;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07299;1991-02-01 00:00:00;;1019.7;-0.7;5.7;4.6;-4.8;4.8;13;4;104;0;1;28;1;28;28;;;;;;;1;;;;11;5;;;8;1;0;0;1;4;7.5;1991-02-25 00:00:00;-10.2;1991-02-07 00:00:00;18;1991-02-25 00:00:00;-14.3;1991-02-07 00:00:00;6.4;1991-02-09 00:00:00;25;1991-02-10 00:00:00;;;6;18
07314;1991-02-01 00:00:00;;1017.7;5;4;7.5;2.1;8.2;43;10;98;0;0;28;0;28;28;;;;;;;3;;;;;;;;21;4;0;0;5;10;9.8;1991-02-23 00:00:00;-3.7;1991-02-07 00:00:00;16.8;1991-02-25 00:00:00;-6.6;1991-02-07 00:00:00;7.8;1991-02-08 00:00:00;23;1991-02-15 00:00:00;1;1;6;18
07335;1991-02-01 00:00:00;;1017.9;1.3;5.7;6;-2.6;6.3;31;9;88;0;0;28;0;28;28;;;;;;;2;;;;8;7;;;14;0;0;0;1;11;9.4;1991-02-23 00:00:00;-7.8;1991-02-07 00:00:00;18.4;1991-02-26 00:00:00;-10.5;1991-02-08 00:00:00;7.8;1991-02-15 00:00:00;17;1991-02-21 00:00:00;;;6;18
07434;1991-02-01 00:00:00;;;2.5;;;;;59;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
