NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1991-08-01 00:00:00;1010.3;1019.6;17.3;4;23.2;12.4;15;9;3;269;1;1;31;1;31;31;;0;;;;;1;;;;;;;;20;0;0;0;0;5;20.5;1991-08-22 00:00:00;14.7;1991-08-19 00:00:00;28.7;1991-08-21 00:00:00;7.4;1991-08-19 00:00:00;5.4;1991-08-22 00:00:00;16;1991-08-23 00:00:00;;;6;18
07015;1991-08-01 00:00:00;1013.8;1020;18.4;4.3;24.3;12.8;14.1;7;2;258;30;31;31;31;31;31;8;1;;;;;1;;;;;;;;17;0;0;0;0;2;22.3;1991-08-06 00:00:00;15.9;1991-08-18 00:00:00;31.7;;;;5;1991-08-22 00:00:00;14;1991-08-17 00:00:00;1;0;6;18
07020;1991-08-01 00:00:00;1018.3;1019.5;17;1.6;19.3;14.3;18.2;17;4;;2;4;31;4;31;0;1;0;;;;;1;1;0;;;;;;13;1;0;0;0;3;18.2;1991-08-03 00:00:00;15;1991-08-25 00:00:00;25;1991-08-21 00:00:00;11.6;1991-08-23 00:00:00;10;1991-08-22 00:00:00;21;1991-08-23 00:00:00;;;6;18
07027;1991-08-01 00:00:00;1011.8;1019.8;18.2;4.2;24.2;12.9;15;15;4;276;0;0;31;0;31;31;;;;;;;1;;;;;;;;15;1;0;0;1;4;22.5;1991-08-21 00:00:00;14.8;1991-08-18 00:00:00;31.3;;;;7;1991-08-22 00:00:00;20;1991-08-22 00:00:00;1;0;6;18
07037;1991-08-01 00:00:00;1001.3;1019.7;17.9;4.3;23.9;12.7;15.2;5;3;247;3;3;31;3;31;31;;0;;;;;0;;;;;;;;15;0;0;0;0;3;21.4;1991-08-06 00:00:00;14.5;1991-08-17 00:00:00;29.7;1991-08-06 00:00:00;9.2;1991-08-19 00:00:00;2;1991-08-22 00:00:00;17;1991-08-22 00:00:00;;;6;18
07110;1991-08-01 00:00:00;;1020.5;17;;;;17.4;25;6;235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1991-08-01 00:00:00;1008.4;1019.7;20.9;4.5;26.8;15.1;15.4;36;3;;31;31;31;31;31;0;22;3;;;;;2;2;0;;;;;;11;0;0;;;;25.5;1991-08-06 00:00:00;17;1991-08-08 00:00:00;33.2;1991-08-06 00:00:00;11.6;1991-08-19 00:00:00;21.9;1991-08-07 00:00:00;16;1991-08-22 00:00:00;2;0;6;18
07190;1991-08-01 00:00:00;1001.1;1019.1;20.7;5.2;27.5;14;15.4;6;2;303;0;0;31;0;31;31;;;;;;;0;;;;;;;;11;0;0;;;;25.1;1991-08-07 00:00:00;16.3;1991-08-19 00:00:00;33.2;;;;3.4;1991-08-22 00:00:00;17;1991-08-07 00:00:00;2;0;6;18
07207;1991-08-01 00:00:00;1014.8;1019.9;19;2.8;23.2;15.9;18.2;11;4;274;21;30;31;30;31;31;7;0;;;;;1;;;;;;;;22;0;0;0;0;2;23;1991-08-26 00:00:00;17;1991-08-17 00:00:00;29.4;1991-08-26 00:00:00;13.2;1991-08-19 00:00:00;5.1;1991-08-22 00:00:00;18;1991-08-22 00:00:00;1;0;6;18
07222;1991-08-01 00:00:00;1016.4;1019.3;21.1;;;;18.7;30;3;284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
