NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1990-02-01 00:00:00;;1010.5;8.4;3.1;11.9;5.4;9.1;108;14;106;0;28;28;28;28;28;;;;;;;6;4;0;;;;;;25;16;6;;;;13.7;1990-02-20 00:00:00;4.4;1990-02-16 00:00:00;18.1;1990-02-24 00:00:00;2.1;1990-02-17 00:00:00;27.4;1990-02-14 00:00:00;42;1990-02-28 00:00:00;2;2;6;18
07015;1990-02-01 00:00:00;;1010.5;7.9;3.3;11.8;5;7.6;80;12;116;0;28;28;28;28;28;;;;;;;8;2;0;;;;;;25;14;3;;;;13.3;1990-02-20 00:00:00;3.4;1990-02-16 00:00:00;17.8;1990-02-20 00:00:00;0.4;1990-02-16 00:00:00;17;1990-02-14 00:00:00;38;1990-02-26 00:00:00;1;1;6;18
07020;1990-02-01 00:00:00;;1009.3;9.8;2;11.5;7.6;11.3;139;19;;0;0;28;0;28;0;;;;;;;12;5;0;;;;;;28;22;11;;;;13.3;1990-02-23 00:00:00;5.7;1990-02-16 00:00:00;17;1990-02-23 00:00:00;2.8;1990-02-16 00:00:00;16;1990-02-01 00:00:00;38;1990-02-11 00:00:00;1;1;6;18
07027;1990-02-01 00:00:00;;1012.2;9.4;3.2;12.8;5.9;10.1;129;19;108;0;0;28;0;28;28;;;;;;;10;5;0;;;;;;27;14;4;;;;14.6;1990-02-20 00:00:00;4.1;1990-02-16 00:00:00;19.4;1990-02-23 00:00:00;0.8;1990-02-16 00:00:00;22.8;1990-02-14 00:00:00;36;1990-02-26 00:00:00;;;6;18
07037;1990-02-01 00:00:00;993.6;1012.5;7.8;3.3;11.6;4.5;9.1;120;12;105;28;28;28;28;28;28;;;;;;;6;4;0;;;;;;25;15;5;0;0;1;12.6;1990-02-20 00:00:00;2.8;1990-02-16 00:00:00;18.9;1990-02-24 00:00:00;0.2;1990-02-09 00:00:00;37.2;1990-02-14 00:00:00;38;1990-02-28 00:00:00;2;2;6;18
07110;1990-02-01 00:00:00;999.7;1012.1;10.1;;;;10.7;226;19;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1990-02-01 00:00:00;1004.1;1015;8.6;3.6;12.8;4.9;8.9;81;10;;28;28;28;28;28;0;;;;;;;7;3;0;;;;;;23;13;4;;;;12.6;1990-02-24 00:00:00;3.8;1990-02-16 00:00:00;20;1990-02-24 00:00:00;0.6;1990-02-09 00:00:00;17.3;1990-02-13 00:00:00;36;1990-02-03 00:00:00;0;1;6;18
07190;1990-02-01 00:00:00;998.2;1017.1;7.2;;;;7.6;73;9;106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07207;1990-02-01 00:00:00;;1015.3;11.1;1.2;12.5;9.6;12.6;100;18;78;0;28;28;28;28;28;;;;;;;8;3;0;;;;;;27;17;10;;;;12.4;1990-02-20 00:00:00;8.4;1990-02-12 00:00:00;14;1990-02-07 00:00:00;5;1990-02-11 00:00:00;15.2;1990-02-11 00:00:00;45;1990-02-03 00:00:00;1;1;6;18
07222;1990-02-01 00:00:00;1013.2;1016.6;10.5;;;;11.3;154;18;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
