NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1990-05-01 00:00:00;;1019.6;13.7;4.7;19.4;7.8;11.2;10;3;325;0;31;31;31;31;31;1;0;;;;;1;;;;;;;;25;0;0;1;1;2;18.7;1990-05-03 00:00:00;10.3;1990-05-25 00:00:00;25.6;1990-05-05 00:00:00;3;1990-05-13 00:00:00;5;1990-05-15 00:00:00;14;1990-05-24 00:00:00;1;0;6;18
07015;1990-05-01 00:00:00;;1019.8;14.5;4.8;20.2;8.8;9.7;11;4;324;0;31;31;31;31;31;5;0;;;;;0;;;;;;;;19;0;0;0;0;1;20.4;1990-05-06 00:00:00;10.6;1990-05-25 00:00:00;27.5;1990-05-06 00:00:00;4.5;1990-05-29 00:00:00;4.6;1990-05-15 00:00:00;15;1990-05-15 00:00:00;1;0;6;18
07020;1990-05-01 00:00:00;;1019.4;13.1;1.9;15.5;10.1;12.8;14;3;;0;0;31;0;31;0;;;;;;;2;;;;;;;;14;1;0;0;0;2;15.1;1990-05-06 00:00:00;11.4;1990-05-13 00:00:00;19.4;1990-05-15 00:00:00;7.4;1990-05-14 00:00:00;5.6;1990-05-09 00:00:00;25;1990-05-18 00:00:00;;;6;18
07027;1990-05-01 00:00:00;;1020;13.9;4;19;8.7;12.4;13;3;293;0;0;31;0;31;31;;;;;;;1;;;;;;;;31;0;0;0;0;3;17.4;1990-05-03 00:00:00;11.2;1990-05-13 00:00:00;24.4;1990-05-03 00:00:00;4.3;1990-05-27 00:00:00;5.6;1990-05-14 00:00:00;19;1990-05-14 00:00:00;;;6;18
07037;1990-05-01 00:00:00;1001.1;1019.7;13.9;4.7;19.8;8;11;9;3;306;31;31;31;31;31;31;1;0;;;;;0;;;;;;;;18;0;0;;;;18.8;1990-05-03 00:00:00;10;1990-05-11 00:00:00;25.1;1990-05-06 00:00:00;3.5;1990-05-11 00:00:00;4;1990-05-08 00:00:00;13;1990-05-10 00:00:00;1;0;6;18
07110;1990-05-01 00:00:00;1007;1019.4;14.8;;;;12.3;29;4;271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1990-05-01 00:00:00;1008.9;1019.5;16.7;4.3;22.1;10.9;11.1;13;4;;31;31;31;31;31;0;7;0;;;;;1;;;;;;;;18;0;0;;;;20.9;1990-05-06 00:00:00;12.8;1990-05-12 00:00:00;27.8;1990-05-06 00:00:00;6.5;1990-05-12 00:00:00;6;1990-05-06 00:00:00;13;1990-05-08 00:00:00;4;0;6;18
07190;1990-05-01 00:00:00;1000.9;1019.3;15.9;4.8;22.3;9.2;11.1;19;4;297;0;0;31;0;31;31;;0;;;;;1;;;;;;;;20;0;0;0;0;4;18.9;1990-05-02 00:00:00;12.6;1990-05-29 00:00:00;26.4;;;;9.2;1990-05-10 00:00:00;17;1990-05-10 00:00:00;6;0;6;18
07207;1990-05-01 00:00:00;;1019.1;16.2;2.7;19.8;13;14.9;18;3;265;0;31;31;31;31;31;3;0;;;;;1;1;0;;;;;;21;1;0;;;;20;1990-05-04 00:00:00;13.2;1990-05-10 00:00:00;25.6;1990-05-04 00:00:00;10;1990-05-10 00:00:00;12.5;1990-05-17 00:00:00;20;1990-05-17 00:00:00;1;0;6;18
07222;1990-05-01 00:00:00;1015.4;1018.7;17.5;4;22.7;12.2;14.3;14;3;256;0;0;31;0;31;31;;0;;;;;1;;;;;;;;13;0;0;0;0;3;21.9;1990-05-03 00:00:00;13.2;1990-05-10 00:00:00;28;;;;6.2;1990-05-06 00:00:00;12;1990-05-18 00:00:00;6;1;6;18
