NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1991-03-01 00:00:00;;1011.6;8.6;3.5;12.3;5.4;9.4;34;11;124;0;0;31;0;31;31;;;;;0;;2;;;;;;;;20;2;0;0;1;4;12.8;1991-03-07 00:00:00;4.1;1991-03-01 00:00:00;17.2;1991-03-13 00:00:00;-0.7;1991-03-30 00:00:00;6.4;1991-03-17 00:00:00;22;1991-03-25 00:00:00;;;6;18
07015;1991-03-01 00:00:00;;1013.1;9;3.6;12.8;5.6;9;37;12;130;0;31;31;31;31;31;;;;;0;1;2;;;;;;;;18;1;0;0;0;1;13.7;1991-03-07 00:00:00;4.4;1991-03-01 00:00:00;18.5;;;;6;1991-03-01 00:00:00;22;1991-03-25 00:00:00;;;6;18
07020;1991-03-01 00:00:00;;;9.1;1.7;11;7.1;10.5;55;12;;0;20;31;20;31;0;;;;;;;4;1;0;;;;;;25;5;1;0;0;3;11.8;1991-03-12 00:00:00;5.3;1991-03-02 00:00:00;15;1991-03-12 00:00:00;1.8;1991-03-02 00:00:00;10.7;1991-03-18 00:00:00;30;1991-03-08 00:00:00;;;6;18
07027;1991-03-01 00:00:00;;1011.8;9.3;3.4;13;6.2;10.1;32;9;118;0;0;31;0;31;31;;;;;0;;2;;;;;;;;24;2;0;;;;13.2;1991-03-20 00:00:00;4.8;1991-03-02 00:00:00;18.7;1991-03-13 00:00:00;-0.1;1991-03-02 00:00:00;9;1991-03-21 00:00:00;22;1991-03-25 00:00:00;;;6;18
07037;1991-03-01 00:00:00;993.5;1012.4;8.2;3.6;12;5;9.4;56;13;116;7;7;31;7;31;31;;;;;0;2;4;;;;;;;;24;1;0;0;0;5;12;1991-03-20 00:00:00;3.4;1991-03-01 00:00:00;17.3;1991-03-14 00:00:00;-0.6;1991-03-31 00:00:00;9.8;1991-03-21 00:00:00;22;1991-03-25 00:00:00;;;6;18
07110;1991-03-01 00:00:00;998.4;1011;8.8;;;;9.9;99;16;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1991-03-01 00:00:00;1002.4;1013.3;9.6;3.5;13.2;6.3;10.3;59;7;;31;31;31;31;31;0;;;;;0;1;3;2;0;;;;;;19;0;0;0;0;2;13.9;1991-03-06 00:00:00;5.5;1991-03-01 00:00:00;18.9;1991-03-06 00:00:00;-0.5;1991-03-30 00:00:00;22.9;1991-03-21 00:00:00;18;1991-03-16 00:00:00;;;6;18
07190;1991-03-01 00:00:00;996;1014.7;8;4;12.7;4.1;8.6;31;6;104;0;1;31;1;31;31;;;;;0;;4;;;;;;;;10;1;0;0;1;5;14.2;1991-03-21 00:00:00;2.9;1991-03-29 00:00:00;19.2;;;;7.4;1991-03-02 00:00:00;20;1991-03-21 00:00:00;1;0;6;18
07207;1991-03-01 00:00:00;;1011.5;9.6;1.8;11.6;7.7;11.1;68;13;122;0;28;31;25;31;31;;;;;;;4;3;0;;;;;;29;7;1;0;0;7;11.4;1991-03-19 00:00:00;6.9;1991-03-01 00:00:00;14.2;1991-03-28 00:00:00;3.6;1991-03-01 00:00:00;13.9;1991-03-07 00:00:00;31;1991-03-08 00:00:00;;;6;18
07222;1991-03-01 00:00:00;1008.6;1012;9.9;;;;10.6;61;12;104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
