NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1990-01-01 00:00:00;;1018.3;5.7;3.4;8.1;3.5;8.3;87;11;41;0;31;31;31;31;31;;;;;0;6;5;2;0;;;;;;22;5;1;1;4;5;10.1;1990-01-16 00:00:00;-1;1990-01-01 00:00:00;13.2;1990-01-25 00:00:00;-1.7;1990-01-01 00:00:00;32.2;1990-01-23 00:00:00;40;1990-01-25 00:00:00;1;1;6;18
07015;1990-01-01 00:00:00;;1018.8;5.3;3.3;7.6;3.5;7.7;69;12;37;0;31;31;31;31;31;;;;;0;6;4;2;0;;;;;;22;5;1;0;0;10;10.3;1990-01-16 00:00:00;-0.2;1990-01-01 00:00:00;13.1;1990-01-25 00:00:00;-1;1990-01-02 00:00:00;24.6;1990-01-23 00:00:00;37;1990-01-25 00:00:00;;;6;18
07020;1990-01-01 00:00:00;;1016.1;9;1.8;10.4;7;10.5;104;17;;0;0;31;0;31;0;;;;;;;8;3;0;;;;;;29;13;6;0;0;1;11;1990-01-22 00:00:00;5.1;1990-01-03 00:00:00;12;1990-01-06 00:00:00;2;1990-01-03 00:00:00;18.5;1990-01-23 00:00:00;46;1990-01-25 00:00:00;1;2;6;18
07027;1990-01-01 00:00:00;;1018.6;6.8;3.3;10;4.1;9.2;70;9;53;0;0;31;0;31;31;;;;;0;;4;2;0;;;;;;22;8;1;0;0;6;11.2;1990-01-23 00:00:00;1.1;1990-01-04 00:00:00;13.7;1990-01-25 00:00:00;-1.3;1990-01-14 00:00:00;25.2;1990-01-23 00:00:00;36;1990-01-25 00:00:00;;;6;18
07037;1990-01-01 00:00:00;1000.6;1020;4.9;3.3;7.3;2.7;8.2;64;10;33;31;31;31;31;31;31;;;;;0;8;3;1;0;;;;;;20;6;1;0;1;12;9.4;1990-01-23 00:00:00;-1.5;1990-01-01 00:00:00;12.3;1990-01-25 00:00:00;-2.6;1990-01-01 00:00:00;28.8;1990-01-23 00:00:00;32;1990-01-25 00:00:00;0;1;6;18
07110;1990-01-01 00:00:00;1005.5;1018.1;8.8;;;;10.1;182;17;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1990-01-01 00:00:00;1011.1;1022.2;5;3.4;7.5;2.7;7.8;31;6;;31;31;31;31;31;0;;;;;0;8;2;;;;;;;;14;3;0;0;0;7;10.9;1990-01-31 00:00:00;-1.9;1990-01-01 00:00:00;13.7;1990-01-31 00:00:00;-2.6;1990-01-01 00:00:00;8.2;1990-01-23 00:00:00;29;1990-01-25 00:00:00;;;6;18
07190;1990-01-01 00:00:00;1005.9;1025.2;2.4;4;5.2;0;6.4;14;5;58;0;0;31;0;31;31;;;;;;;1;;;;;;;;12;2;0;0;0;12;9.4;1990-01-25 00:00:00;-2.7;1990-01-02 00:00:00;13.8;;;;5;1990-01-25 00:00:00;29;1990-01-25 00:00:00;1;0;6;18
07207;1990-01-01 00:00:00;;1020.5;10.4;1.6;11.9;8.5;11.6;85;15;48;0;31;31;31;31;31;;;;;;;8;2;0;;;;;;29;9;7;0;1;4;12.2;1990-01-06 00:00:00;7.3;1990-01-18 00:00:00;13.4;1990-01-25 00:00:00;4.8;1990-01-18 00:00:00;13.9;1990-01-31 00:00:00;37;1990-01-25 00:00:00;;;6;18
07222;1990-01-01 00:00:00;1018.4;1021.8;7.4;;;;9.9;97;14;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
