NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1991-12-01 00:00:00;1018.6;1028.6;3.3;4.3;5.8;1.1;7.3;42;6;58;2;3;31;3;31;31;;;;;2;;4;1;0;;;;;;13;6;1;0;2;4;10.9;1991-12-22 00:00:00;-3.5;1991-12-11 00:00:00;11.8;1991-12-23 00:00:00;-7.3;1991-12-11 00:00:00;12.8;1991-12-16 00:00:00;30;1991-12-23 00:00:00;;;6;18
07015;1991-12-01 00:00:00;1022.2;1029;3.1;4.3;5.6;0.8;7.4;49;7;52;12;31;31;31;31;31;;;;;3;14;6;2;0;;;;;;10;6;0;0;2;3;11.5;1991-12-22 00:00:00;-3.4;1991-12-11 00:00:00;12.5;1991-12-22 00:00:00;-6.9;1991-12-11 00:00:00;11.8;1991-12-17 00:00:00;25;1991-12-21 00:00:00;;;6;18
07020;1991-12-01 00:00:00;;;7.8;2.8;9.5;5.2;9.7;25;5;;4;7;31;7;31;0;;;;;0;2;2;;;;;;;;26;8;4;;;;12.2;1991-12-22 00:00:00;3.9;1991-12-10 00:00:00;12.8;1991-12-21 00:00:00;-3;1991-12-11 00:00:00;8.9;1991-12-16 00:00:00;34;1991-12-23 00:00:00;;;6;18
07027;1991-12-01 00:00:00;1021.3;1029.8;4.2;4.4;7.2;1.2;6.9;20;6;87;0;0;31;0;31;31;;;;;0;;2;;;;;;;;12;6;0;;;;12;1991-12-22 00:00:00;-3.2;1991-12-11 00:00:00;12.9;;;;5.6;1991-12-19 00:00:00;28;1991-12-21 00:00:00;1;1;6;18
07037;1991-12-01 00:00:00;1009.4;1029;3.1;4.1;6;0.7;7.3;58;5;60;13;13;31;13;31;31;;;;;1;;5;4;0;;;;;;15;6;0;0;0;4;11;1991-12-22 00:00:00;-3.5;1991-12-11 00:00:00;11.9;1991-12-22 00:00:00;-7.3;1991-12-11 00:00:00;12.2;1991-12-19 00:00:00;27;1991-12-21 00:00:00;;;6;18
07110;1991-12-01 00:00:00;1017.1;1029.3;5.8;;;;8.3;22;5;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1991-12-01 00:00:00;1018.3;1030.4;3.2;4.1;6.1;0.8;7;29;5;;30;30;31;30;31;0;;;;;1;14;3;;;;;;;;11;4;0;0;0;1;11.9;1991-12-22 00:00:00;-2.7;1991-12-10 00:00:00;13;1991-12-22 00:00:00;-6;1991-12-14 00:00:00;7.7;1991-12-20 00:00:00;25;1991-12-18 00:00:00;;;6;18
07190;1991-12-01 00:00:00;1010.5;1030;0.9;;;;5.8;29;7;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07207;1991-12-01 00:00:00;1024.4;1029.2;7.2;3.3;9;5.5;9.3;16;4;111;16;28;31;28;31;31;;;;;;;1;;;;;;;;25;5;2;0;0;1;12.1;1991-12-16 00:00:00;2.8;1991-12-10 00:00:00;12.8;1991-12-15 00:00:00;0.8;1991-12-11 00:00:00;6.6;1991-12-19 00:00:00;32;1991-12-19 00:00:00;;;6;18
07222;1991-12-01 00:00:00;1026.7;1029.7;4.9;;;;8.1;8;3;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07240;1991-12-01 00:00:00;1015.9;1030.1;3.3;4;6.2;1;7.2;16;2;83;0;0;31;0;31;31;;;;;;;1;1;0;;;;;;17;1;0;0;0;3;11.6;1991-12-22 00:00:00;-2;1991-12-10 00:00:00;12.8;1991-12-22 00:00:00;-4;1991-12-10 00:00:00;12.8;1991-12-19 00:00:00;20;1991-12-19 00:00:00;;;6;18
07255;1991-12-01 00:00:00;1009.5;1030.4;2.8;;;;6.7;22;5;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07280;1991-12-01 00:00:00;1002.9;1031.1;1;4.7;4;-1.7;6.1;24;6;89;0;0;31;0;31;31;;;;;;;2;;;;2;0;;;11;2;0;0;1;7;11.7;1991-12-22 00:00:00;-8.1;1991-12-14 00:00:00;12.8;;;;6.8;1991-12-21 00:00:00;22;1991-12-20 00:00:00;;;6;18
07299;1991-12-01 00:00:00;996.8;1031.3;0.5;4.5;3.7;-2.1;5.7;35;5;67;1;1;31;1;31;31;;;;;;;3;1;0;;;;;;11;3;0;0;0;6;10.9;1991-12-22 00:00:00;-5;1991-12-14 00:00:00;11.8;1991-12-19 00:00:00;-9.3;1991-12-14 00:00:00;12.8;1991-12-17 00:00:00;27;1991-12-18 00:00:00;;;6;18
07335;1991-12-01 00:00:00;1014.9;1029.9;3.4;4.4;7;0.1;6.4;7;2;101;0;0;31;0;31;31;;;;;;;0;;;;;;;;14;1;0;0;0;5;11.4;1991-12-22 00:00:00;-2;1991-12-31 00:00:00;12.3;1991-12-22 00:00:00;-6.4;1991-12-14 00:00:00;3.2;1991-12-19 00:00:00;21;1991-12-19 00:00:00;;;6;18
07434;1991-12-01 00:00:00;980.6;1029.8;4.3;;;;7;39;6;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07460;1991-12-01 00:00:00;989.3;1030.6;1.5;5.5;5.7;-2.1;6.1;5;2;90;0;0;31;0;31;31;;;;;;;0;;;;;;;;8;3;0;0;0;9;12;1991-12-22 00:00:00;-6.4;1991-12-08 00:00:00;14;1991-12-19 00:00:00;-9.4;1991-12-08 00:00:00;2.8;1991-12-20 00:00:00;23;1991-12-21 00:00:00;;;6;18
07471;1991-12-01 00:00:00;;;-0.9;5.1;5;-5;4.3;20;3;141;0;28;31;28;31;31;;;;;3;25;2;1;0;;2;2;;;13;3;0;0;0;3;8.4;1991-12-22 00:00:00;-6.8;1991-12-07 00:00:00;10.5;1991-12-22 00:00:00;-11.5;1991-12-08 00:00:00;11.7;1991-12-21 00:00:00;27;1991-12-21 00:00:00;;;6;18
07481;1991-12-01 00:00:00;1000.7;1030.9;1.4;4.1;4.3;-0.7;5.3;82;6;67;0;0;31;0;31;31;;;;;;;2;1;1;;;;;;8;0;0;0;2;8;10;1991-12-22 00:00:00;-5.8;1991-12-14 00:00:00;12.1;1991-12-22 00:00:00;-8.9;1991-12-15 00:00:00;61;1991-12-21 00:00:00;18;1991-12-20 00:00:00;;;6;18
07510;1991-12-01 00:00:00;1021.4;1029;5.3;;;;7.9;37;7;126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07535;1991-12-01 00:00:00;;1029.4;4.9;4.3;9.6;1.1;6.8;28;5;166;0;1;31;1;31;31;;;;;0;;2;;;;;;;;13;1;0;0;0;3;11.5;1991-12-01 00:00:00;-0.6;1991-12-09 00:00:00;15.4;1991-12-01 00:00:00;-5.8;1991-12-08 00:00:00;8.8;1991-12-19 00:00:00;25;1991-12-20 00:00:00;;;6;18
07560;1991-12-01 00:00:00;;;-1;2.8;1.4;-3.8;3.8;40;7;;0;31;31;31;31;0;;;;;9;29;4;;;;14;13;;;30;17;10;0;12;12;4.6;1991-12-05 00:00:00;-5.3;1991-12-12 00:00:00;7;1991-12-05 00:00:00;-8.1;1991-12-25 00:00:00;9.2;1991-12-21 00:00:00;44;1991-12-21 00:00:00;;;6;18
