NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1991-04-01 00:00:00;1008.2;1015.2;8.2;4.4;13;4.2;8.3;58;9;194;2;4;30;4;30;30;;;;;0;1;3;2;0;;;;;;25;3;0;0;0;1;14.3;1991-04-13 00:00:00;3;1991-04-20 00:00:00;23.5;1991-04-12 00:00:00;-1.6;1991-04-21 00:00:00;24.4;1991-04-29 00:00:00;22;1991-04-04 00:00:00;1;1;6;18
07015;1991-04-01 00:00:00;1010.7;1016.6;8.5;;;;7;66;10;211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07020;1991-04-01 00:00:00;;;9.3;1.9;11.5;6.8;10.7;41;8;;5;13;30;13;30;0;;;;;;;2;2;0;;;;;;27;4;0;0;0;5;11.7;1991-04-11 00:00:00;6.9;1991-04-19 00:00:00;17.4;1991-04-10 00:00:00;3.6;1991-04-19 00:00:00;15.3;1991-04-29 00:00:00;27;1991-04-04 00:00:00;;;6;18
07027;1991-04-01 00:00:00;;1016.8;8.7;;;;9.2;42;12;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07037;1991-04-01 00:00:00;997.7;1016.7;7.9;4.6;12.8;3.6;8.1;55;13;197;14;14;30;14;30;30;;;;;0;3;3;1;0;;1;1;;;25;1;0;0;0;3;16;1991-04-12 00:00:00;1.8;1991-04-20 00:00:00;23.3;1991-04-11 00:00:00;-1.6;1991-04-21 00:00:00;15;1991-04-29 00:00:00;20;1991-04-17 00:00:00;1;1;6;18
07110;1991-04-01 00:00:00;;1017.7;8.6;;;;9.3;63;13;169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1991-04-01 00:00:00;1005.7;1017.2;9.6;4.8;14.5;4.9;9.2;36;5;;30;30;30;30;30;0;;;;;0;1;3;2;0;;;;;;22;1;0;;;;17;1991-04-12 00:00:00;3.7;1991-04-20 00:00:00;24.3;1991-04-12 00:00:00;-2.1;1991-04-21 00:00:00;11;1991-04-18 00:00:00;20;1991-04-04 00:00:00;2;0;6;18
07190;1991-04-01 00:00:00;;1016.9;9;;;;7.1;19;3;185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07207;1991-04-01 00:00:00;1014.2;1017.9;10;2.5;12.7;7.6;11;26;6;203;7;29;30;29;30;30;;;;;;;2;;;;;;;;24;9;1;;;;13.5;1991-04-16 00:00:00;6.7;1991-04-20 00:00:00;19.2;1991-04-15 00:00:00;3.4;1991-04-20 00:00:00;8.9;1991-04-04 00:00:00;30;1991-04-04 00:00:00;0;1;6;18
07222;1991-04-01 00:00:00;;1017.8;9.8;;;;10.1;52;8;173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07240;1991-04-01 00:00:00;1003.6;1017.2;9.3;4.9;14.6;4.5;8.2;59;12;199;0;0;30;0;30;30;;;;;0;;4;2;0;;;;;;22;1;0;0;0;2;15.9;1991-04-11 00:00:00;3.2;1991-04-20 00:00:00;23.7;1991-04-11 00:00:00;-3.4;1991-04-21 00:00:00;17;1991-04-30 00:00:00;20;1991-04-04 00:00:00;2;0;6;18
07255;1991-04-01 00:00:00;;1016.9;9.1;;;;8.7;40;9;183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07280;1991-04-01 00:00:00;;1017.1;8.7;;;;7.4;29;6;212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07299;1991-04-01 00:00:00;985.1;1017.2;8.9;5.2;15;3.1;7.2;19;6;192;0;0;30;0;30;30;;;;;0;;1;;;;;;;;20;0;0;0;0;1;12.9;1991-04-11 00:00:00;3.1;1991-04-21 00:00:00;21.2;1991-04-12 00:00:00;-2.9;1991-04-21 00:00:00;5.4;1991-04-20 00:00:00;17;1991-04-16 00:00:00;2;1;6;18
07335;1991-04-01 00:00:00;1003.3;1017.5;8.7;5.4;14.7;2.9;8.1;36;10;194;0;0;30;0;30;30;;;;;0;;3;;;;;;;;20;2;0;0;0;2;15.1;1991-04-13 00:00:00;2.6;1991-04-21 00:00:00;23.5;1991-04-11 00:00:00;-5;1991-04-21 00:00:00;9.8;1991-04-04 00:00:00;20;1991-04-04 00:00:00;1;1;6;18
07434;1991-04-01 00:00:00;;1017.7;8.4;;;;9;53;11;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07460;1991-04-01 00:00:00;977.3;1017;8.7;5.6;14.6;2.8;7.3;19;4;197;0;0;30;0;30;30;;;;;0;;1;1;0;;;;;;18;0;0;0;0;1;16.4;1991-04-12 00:00:00;2.1;1991-04-20 00:00:00;24.1;1991-04-11 00:00:00;-4.7;1991-04-22 00:00:00;10;1991-04-27 00:00:00;19;1991-04-17 00:00:00;3;1;6;18
07471;1991-04-01 00:00:00;;;5.1;5.3;11.2;-0.6;6.1;23;7;194;0;30;30;30;30;30;;;;;0;18;1;;;;4;3;;;22;1;0;;;;11.1;1991-04-12 00:00:00;-0.7;1991-04-20 00:00:00;19.7;1991-04-10 00:00:00;-8;1991-04-22 00:00:00;7.3;1991-04-25 00:00:00;21;1991-04-17 00:00:00;;;6;18
07481;1991-04-01 00:00:00;987.8;1016.5;9.7;4.8;15;5.1;7.9;40;10;198;0;2;30;2;30;28;;;;;0;;3;;;;;;;;22;1;0;;;;16;1991-04-12 00:00:00;3;1991-04-20 00:00:00;22.8;1991-04-11 00:00:00;-0.4;1991-04-22 00:00:00;9.2;1991-04-27 00:00:00;25;1991-04-17 00:00:00;1;0;6;18
07510;1991-04-01 00:00:00;;1017.6;10.7;;;;9.7;67;11;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07535;1991-04-01 00:00:00;;1017.6;9.4;5.4;15;4.4;7.6;39;11;188;0;0;30;0;30;30;;;;;0;;3;;;;;;;;16;1;0;0;0;2;16.6;1991-04-11 00:00:00;3;1991-04-20 00:00:00;24.3;1991-04-11 00:00:00;-2.9;1991-04-22 00:00:00;8.2;1991-04-30 00:00:00;22;1991-04-05 00:00:00;;;6;18
07560;1991-04-01 00:00:00;;;1;4.5;4.3;-1.7;5.1;46;8;;0;30;30;30;30;0;;;;;7;19;2;2;0;;15;11;3;0;30;16;4;0;10;12;9.3;1991-04-11 00:00:00;-6.1;1991-04-20 00:00:00;14.1;1991-04-11 00:00:00;-8.5;1991-04-21 00:00:00;18.8;1991-04-25 00:00:00;39;1991-04-17 00:00:00;;;6;18
07577;1991-04-01 00:00:00;1006.9;1015.5;11.3;4.5;16.6;6.1;9.2;44;6;245;1;30;30;0;30;30;;;;;;;2;2;0;;;;;;26;4;1;;;;15.7;1991-04-16 00:00:00;4.9;1991-04-20 00:00:00;23.8;1991-04-11 00:00:00;0.6;1991-04-20 00:00:00;20.2;1991-04-25 00:00:00;30;1991-04-17 00:00:00;1;0;6;18
07591;1991-04-01 00:00:00;911.7;;7.9;5.3;14.3;2.4;5.5;16;5;228;0;0;30;0;30;30;;;;;0;;1;;;;2;0;;;29;1;0;0;0;1;13.4;1991-04-11 00:00:00;0.9;1991-04-20 00:00:00;21.8;1991-04-11 00:00:00;-4.7;1991-04-19 00:00:00;7;1991-04-12 00:00:00;24;1991-04-26 00:00:00;2;0;6;18
07607;1991-04-01 00:00:00;1010.9;1018.2;10.1;5.1;16.4;4.7;9.3;96;12;173;1;1;30;1;30;30;;0;;;0;;7;4;0;;;;;;19;1;0;0;0;4;15.5;1991-04-11 00:00:00;4.7;1991-04-21 00:00:00;25.4;1991-04-10 00:00:00;-3.5;1991-04-22 00:00:00;16.6;1991-04-12 00:00:00;23;1991-04-19 00:00:00;0;1;6;18
07621;1991-04-01 00:00:00;974.6;1018.2;8.9;4.8;14.1;4.3;9.1;112;12;166;0;0;30;0;30;30;;;;;0;;6;4;0;;1;0;;;11;1;0;;;;16.2;1991-04-11 00:00:00;3.7;1991-04-21 00:00:00;22.7;1991-04-10 00:00:00;-1.7;1991-04-21 00:00:00;31.2;1991-04-04 00:00:00;27;1991-04-04 00:00:00;1;1;6;18
07627;1991-04-01 00:00:00;968.7;1018;8.7;5;14.4;3.7;8.9;98;13;173;1;1;30;1;30;30;;;;;0;;9;4;0;;;;;;16;2;0;0;0;1;14.5;1991-04-11 00:00:00;2.1;1991-04-20 00:00:00;22.4;1991-04-11 00:00:00;-2.5;1991-04-21 00:00:00;15.2;1991-04-19 00:00:00;22;1991-04-04 00:00:00;2;0;6;18
07630;1991-04-01 00:00:00;;1017.5;10;;;;9.4;57;9;194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07643;1991-04-01 00:00:00;;;12.3;4.2;17.8;7.2;9.3;68;4;274;0;0;30;0;30;30;;;;;;;2;2;0;;;;;;22;2;0;;;;16.1;1991-04-30 00:00:00;7.5;1991-04-25 00:00:00;23;1991-04-08 00:00:00;2;1991-04-22 00:00:00;49.6;1991-04-25 00:00:00;22;1991-04-17 00:00:00;;;6;18
07650;1991-04-01 00:00:00;;1014.7;12.3;;;;9.1;32;3;275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07690;1991-04-01 00:00:00;;1013.4;12.3;;;;10.9;73;7;231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07747;1991-04-01 00:00:00;;1017.5;12.4;;;;9.2;4;2;237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07761;1991-04-01 00:00:00;;1013.6;11.4;;;;9.9;44;8;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61997;1991-04-01 00:00:00;991.8;1009.1;7.4;;;;8.9;345;25;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78897;1991-04-01 00:00:00;;;26;;;;;97;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81405;1991-04-01 00:00:00;1011.3;1012.4;27;;;;29.7;213;20;158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
