NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1991-07-01 00:00:00;1006.6;1016;16.9;3.9;21.2;13;17.4;71;8;198;1;9;31;9;31;31;8;0;;;;;7;1;0;;;;;;20;0;0;0;1;4;23.3;1991-07-05 00:00:00;14.2;1991-07-19 00:00:00;28.8;1991-07-05 00:00:00;9;1991-07-10 00:00:00;22.6;1991-07-13 00:00:00;19;1991-07-24 00:00:00;;;6;18
07015;1991-07-01 00:00:00;1010;1016.4;18;4.2;22.6;13.6;15.9;149;11;203;24;31;31;31;31;31;8;1;;;;;10;5;0;;;;;;16;1;1;0;0;5;24.3;1991-07-11 00:00:00;14.9;1991-07-25 00:00:00;32.8;;;;37.8;1991-07-07 00:00:00;33;1991-07-07 00:00:00;4;1;6;18
07020;1991-07-01 00:00:00;1014.5;1015.6;15.6;1.8;18.5;13.4;16.8;54;9;;8;17;31;17;31;0;;;;;;;5;1;0;;;;;;21;0;0;0;0;6;17.8;1991-07-11 00:00:00;12.6;1991-07-03 00:00:00;24;1991-07-10 00:00:00;9.4;1991-07-03 00:00:00;10.6;1991-07-05 00:00:00;19;1991-07-08 00:00:00;1;1;6;18
07027;1991-07-01 00:00:00;1008.2;1016.2;17.5;4;22.6;13.1;15.6;28;5;179;0;0;31;0;31;31;;;;;;;2;;;;;;;;19;0;0;0;0;1;22.4;1991-07-05 00:00:00;14.3;1991-07-02 00:00:00;31.4;;;;6.8;1991-07-05 00:00:00;18;1991-07-08 00:00:00;1;0;6;18
07037;1991-07-01 00:00:00;997.9;1016.3;17.3;4.1;21.9;12.9;15.9;104;11;182;22;22;31;22;31;31;9;1;;;;;6;5;0;;;;;;19;0;0;0;0;2;24.3;1991-07-11 00:00:00;14;1991-07-02 00:00:00;32.4;1991-07-11 00:00:00;8.8;1991-07-22 00:00:00;20.2;1991-07-13 00:00:00;19;1991-07-05 00:00:00;2;0;6;18
07110;1991-07-01 00:00:00;1004.2;1016.6;16;;;;16.4;153;15;137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1991-07-01 00:00:00;1005.6;1016.9;19.9;4.5;25;14.8;16.7;44;7;;31;31;31;31;31;0;13;4;;;;;4;1;0;;;;;;20;0;0;;;;26.9;1991-07-11 00:00:00;14.6;1991-07-25 00:00:00;34.7;1991-07-11 00:00:00;11;1991-07-16 00:00:00;10;1991-07-30 00:00:00;16;1991-07-05 00:00:00;1;0;6;18
07190;1991-07-01 00:00:00;998.3;1016.3;21.3;;;;17.1;97;11;229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07207;1991-07-01 00:00:00;1012.4;1017.4;17.3;2.3;20;15.2;18.1;48;8;212;5;28;31;27;31;31;4;0;;;;;2;2;0;;;;;;25;3;0;0;0;2;21.7;1991-07-28 00:00:00;15.4;1991-07-02 00:00:00;27;1991-07-28 00:00:00;11.8;1991-07-21 00:00:00;13.3;1991-07-05 00:00:00;22;1991-07-05 00:00:00;3;0;6;18
07222;1991-07-01 00:00:00;1013.6;1017.1;18.9;;;;18.3;33;8;173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07240;1991-07-01 00:00:00;1003.5;1016.7;19.4;4.9;25.7;13.6;15;25;6;253;0;0;31;0;31;31;;;;;;;1;;;;;;;;24;0;0;0;0;1;25.6;1991-07-11 00:00:00;15.9;1991-07-25 00:00:00;33.9;1991-07-11 00:00:00;8.9;1991-07-16 00:00:00;7.2;1991-07-30 00:00:00;19;1991-07-05 00:00:00;1;0;6;18
07255;1991-07-01 00:00:00;997.3;1016.7;20.2;4.9;26.2;14.3;17.7;68;9;257;0;0;31;0;31;31;;;;0;;;4;2;0;;;;;;15;0;0;0;0;2;27;1991-07-11 00:00:00;15.8;1991-07-30 00:00:00;36.5;;;;25.3;1991-07-30 00:00:00;16;1991-07-24 00:00:00;5;1;6;18
07280;1991-07-01 00:00:00;990.1;1016.4;21;;;;18;75;5;302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07299;1991-07-01 00:00:00;985.2;1016.6;21.1;5;27.4;14.9;18.4;61;9;283;0;1;31;1;31;31;;;;;;;3;2;0;;;;;;17;1;0;0;0;1;26;1991-07-11 00:00:00;15.8;1991-07-26 00:00:00;33.3;1991-07-11 00:00:00;10.5;1991-07-28 00:00:00;20.4;1991-07-26 00:00:00;22;1991-07-30 00:00:00;6;0;6;18
07335;1991-07-01 00:00:00;1002.6;1016.6;19.8;5.2;26.3;13.4;15.6;26;7;266;0;0;31;0;31;31;;;;;;;1;;;;;;;;22;0;0;;;;25.6;1991-07-11 00:00:00;16;1991-07-30 00:00:00;33.3;1991-07-11 00:00:00;7.3;1991-07-03 00:00:00;7.6;1991-07-02 00:00:00;17;1991-07-23 00:00:00;;;6;18
07434;1991-07-01 00:00:00;970.7;1017.1;19.2;4.5;24.2;14.5;18.3;98;10;269;0;0;31;0;31;31;;;;;;;5;4;0;;;;;;13;0;0;0;0;4;25;1991-07-11 00:00:00;13.9;1991-07-25 00:00:00;30.9;;;;25.6;1991-07-29 00:00:00;13;1991-07-05 00:00:00;4;0;6;18
07471;1991-07-01 00:00:00;;;18;5.8;25.5;10.2;13;25;3;279;0;29;31;28;31;31;18;1;;;;;1;1;0;;;;;;24;0;0;0;0;1;22.5;1991-07-11 00:00:00;12.7;1991-07-26 00:00:00;30.1;1991-07-11 00:00:00;5.1;1991-07-27 00:00:00;20.4;1991-07-30 00:00:00;17;1991-07-05 00:00:00;3;0;6;18
07481;1991-07-01 00:00:00;988.4;1016;22.6;4.6;28.6;17;16.6;34;4;305;0;0;31;0;31;31;;;;;;;3;2;0;;;;;;18;0;0;;;;28.4;1991-07-11 00:00:00;17.2;1991-07-26 00:00:00;34.8;1991-07-23 00:00:00;12.1;1991-07-27 00:00:00;12.4;1991-07-25 00:00:00;18;1991-07-31 00:00:00;5;0;6;18
07510;1991-07-01 00:00:00;1010.6;1017.8;20.9;;;;17.1;37;5;242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07535;1991-07-01 00:00:00;;1016.8;20.7;5;27.1;14.9;16;96;9;274;0;0;31;0;31;31;;;;;;;5;4;0;;;;;;8;0;0;;;;27.2;1991-07-11 00:00:00;15.7;1991-07-02 00:00:00;34.3;1991-07-11 00:00:00;11.3;1991-07-27 00:00:00;27.4;1991-07-02 00:00:00;14;1991-07-31 00:00:00;5;0;6;18
07560;1991-07-01 00:00:00;;;14.2;3.9;18.2;10.9;11.8;88;4;;0;31;31;31;31;0;;;;;;;2;2;0;;;;;;31;16;1;0;8;8;19.1;1991-07-22 00:00:00;7.3;1991-07-25 00:00:00;23.8;1991-07-22 00:00:00;4.9;1991-07-25 00:00:00;47.8;1991-07-30 00:00:00;38;1991-07-30 00:00:00;1;0;6;18
07577;1991-07-01 00:00:00;1006.8;1015.2;24.5;5.1;31.1;17.8;15.5;102;2;355;0;31;31;0;31;31;30;20;;;;;1;1;1;;;;;;31;1;0;;;;28.4;1991-07-19 00:00:00;20.1;1991-07-26 00:00:00;34.8;1991-07-19 00:00:00;9.8;1991-07-02 00:00:00;99.8;1991-07-30 00:00:00;20;1991-07-27 00:00:00;3;0;6;18
07591;1991-07-01 00:00:00;916.4;;21.3;5.5;28.9;14.3;12.4;48;6;311;0;0;31;0;31;31;;;;;;;2;2;0;;;;;;31;0;0;;;;24.5;1991-07-05 00:00:00;15.2;1991-07-31 00:00:00;32.8;1991-07-06 00:00:00;8.3;1991-07-26 00:00:00;22.4;1991-07-23 00:00:00;18;1991-07-12 00:00:00;6;1;6;18
07607;1991-07-01 00:00:00;1010.6;1017.5;20.8;4.9;27;15.5;17.8;67;10;213;1;1;31;1;31;31;;;;;;;4;3;0;;;;;;14;0;0;0;0;3;25.3;1991-07-22 00:00:00;16.8;1991-07-02 00:00:00;34.3;1991-07-22 00:00:00;9.8;1991-07-27 00:00:00;18.6;1991-07-08 00:00:00;16;1991-07-25 00:00:00;3;0;6;18
07621;1991-07-01 00:00:00;975.4;1017.3;19.5;4.4;24.5;14.8;18.6;69;11;193;0;0;31;0;31;31;;;;;;;6;3;0;;;;;;12;0;0;0;0;2;24.7;1991-07-10 00:00:00;14.5;1991-07-03 00:00:00;32.7;1991-07-10 00:00:00;10.5;1991-07-27 00:00:00;11;1991-07-11 00:00:00;17;1991-07-22 00:00:00;9;0;6;18
07627;1991-07-01 00:00:00;969.6;1017;20;4.6;25.4;14.9;19.4;30;8;216;1;1;31;1;31;31;;;;;;;2;;;;;;;;11;0;0;0;0;1;25.5;1991-07-11 00:00:00;15.2;1991-07-02 00:00:00;32.5;1991-07-10 00:00:00;9.8;1991-07-27 00:00:00;8;1991-07-02 00:00:00;15;1991-07-12 00:00:00;5;0;6;18
07630;1991-07-01 00:00:00;999;1016.9;22.1;;;;16.2;26;7;256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07643;1991-07-01 00:00:00;1014.6;1015.4;24.7;4.6;30.7;18.9;19.2;5;2;357;0;0;31;0;31;31;;;;0;;;0;;;;;;;;23;0;0;0;0;1;29.1;1991-07-19 00:00:00;17.4;1991-07-01 00:00:00;37.4;1991-07-19 00:00:00;12.6;1991-07-01 00:00:00;2.8;1991-07-30 00:00:00;19;1991-07-14 00:00:00;1;0;6;18
07650;1991-07-01 00:00:00;1010.7;1014.8;25;4.2;30.9;19.3;18.3;3;1;387;0;0;31;0;31;31;;;;0;;;;;;;;;;;25;3;0;;;;27.9;1991-07-09 00:00:00;20.7;1991-07-02 00:00:00;35.4;;;;;1991-07-30 00:00:00;25;1991-07-26 00:00:00;2;0;6;18
07690;1991-07-01 00:00:00;1013.5;1014.6;23.8;;;;25;6;2;359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07747;1991-07-01 00:00:00;1011.4;1016.8;24.6;;;;18.7;2;0;291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07761;1991-07-01 00:00:00;1014.1;1014.7;22.7;;;;20;2;1;379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78897;1991-07-01 00:00:00;;;28.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81405;1991-07-01 00:00:00;1013;1014.1;25.6;;;;28.7;300;20;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
