NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1990-06-01 00:00:00;;1013.7;13.7;3.6;18;10.2;14.1;68;15;165;0;30;30;30;30;30;2;0;;;;;4;2;0;;;;;;18;0;0;0;0;1;18.4;1990-06-26 00:00:00;10.9;1990-06-09 00:00:00;27.8;1990-06-26 00:00:00;5;1990-06-17 00:00:00;12.2;1990-06-08 00:00:00;18;1990-06-02 00:00:00;2;0;6;18
07015;1990-06-01 00:00:00;;1013.5;14.9;4.1;19.6;10.8;11.8;68;12;184;0;30;30;30;30;30;4;0;;;;;5;3;0;;;;;;22;2;0;0;0;1;20.5;1990-06-26 00:00:00;11.5;1990-06-09 00:00:00;28.6;1990-06-26 00:00:00;6;1990-06-16 00:00:00;14.8;1990-06-01 00:00:00;21;1990-06-30 00:00:00;3;0;6;18
07020;1990-06-01 00:00:00;;1013.6;14.4;1.7;16.6;12.1;14;74;8;;0;0;30;0;30;0;;;;;;;5;4;0;;;;;;22;2;0;0;0;1;16.6;1990-06-01 00:00:00;12.8;1990-06-07 00:00:00;20.6;1990-06-01 00:00:00;10;1990-06-16 00:00:00;17.1;1990-06-21 00:00:00;29;1990-06-22 00:00:00;1;0;6;18
07027;1990-06-01 00:00:00;;1014.8;14.1;3.3;18.5;10;13.7;56;12;139;0;0;30;0;30;30;;0;;;;;5;;;;;;;;28;6;0;0;0;2;18;1990-06-01 00:00:00;11.9;1990-06-05 00:00:00;27.4;1990-06-01 00:00:00;5.7;1990-06-14 00:00:00;9;1990-06-21 00:00:00;28;1990-06-30 00:00:00;;;6;18
07037;1990-06-01 00:00:00;996;1014.6;13.5;3.9;18.1;9.5;12.3;74;14;145;30;30;30;30;30;30;2;0;;;;;4;2;0;;;;;;18;1;0;0;0;1;19;1990-06-26 00:00:00;10.4;1990-06-09 00:00:00;27.3;1990-06-01 00:00:00;4.7;1990-06-16 00:00:00;21.2;1990-06-22 00:00:00;21;1990-06-20 00:00:00;1;0;6;18
07110;1990-06-01 00:00:00;1003.1;1015.4;13.9;;;;13.1;90;14;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1990-06-01 00:00:00;1004.6;1015.2;15.8;4.2;20.5;11.8;13.7;66;14;;30;30;30;30;30;0;4;1;;;;;4;1;0;;;;;;18;4;1;;;;23.7;1990-06-26 00:00:00;11.7;1990-06-09 00:00:00;31.2;1990-06-26 00:00:00;7.9;1990-06-10 00:00:00;11.6;1990-06-09 00:00:00;39;1990-06-30 00:00:00;6;0;6;18
07190;1990-06-01 00:00:00;997.1;1015.2;16.5;4.4;21.5;12.2;14.4;92;18;169;0;0;30;0;30;30;;;;;;;7;3;0;;;;;;19;2;0;0;0;2;22.6;1990-06-26 00:00:00;11.6;1990-06-09 00:00:00;30.7;;;;21.8;1990-06-19 00:00:00;21;1990-06-19 00:00:00;6;1;6;18
07207;1990-06-01 00:00:00;;1016.4;15.4;2;18.1;13;15.4;44;10;212;0;30;30;30;30;30;;;;;;;3;2;0;;;;;;25;5;1;;;;18.2;1990-06-26 00:00:00;13.9;1990-06-08 00:00:00;23;1990-06-25 00:00:00;9.2;1990-06-13 00:00:00;13.8;1990-06-21 00:00:00;33;1990-06-21 00:00:00;3;0;6;18
07222;1990-06-01 00:00:00;1012.7;1016;16.4;;;;14.9;56;12;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
