NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1990-12-01 00:00:00;;1017.4;3.7;3.4;6;1.7;7.7;94;12;38;0;31;31;31;31;31;;;;;2;11;7;3;0;;3;1;;;19;4;0;0;1;3;9.3;1990-12-22 00:00:00;-1.3;1990-12-06 00:00:00;11.8;1990-12-28 00:00:00;-3.4;1990-12-07 00:00:00;21.2;1990-12-20 00:00:00;28;1990-12-26 00:00:00;1;2;6;18
07015;1990-12-01 00:00:00;;1017.6;3.6;3.2;5.8;1.7;7;82;12;34;0;31;31;31;31;31;;;;;1;11;7;2;0;;5;4;1;0;18;4;0;1;1;6;9.4;1990-12-22 00:00:00;-1.3;1990-12-06 00:00:00;11.3;1990-12-26 00:00:00;-3.2;1990-12-06 00:00:00;19.4;1990-12-29 00:00:00;28;1990-12-26 00:00:00;0;1;6;18
07020;1990-12-01 00:00:00;;1017.5;7.9;2.1;9.4;5.9;8.6;79;14;;0;0;31;0;31;0;;;;;;;6;3;0;;;;;;29;15;3;;;;10.6;1990-12-22 00:00:00;2.1;1990-12-18 00:00:00;12.4;1990-12-26 00:00:00;1.4;1990-12-19 00:00:00;13.8;1990-12-26 00:00:00;45;1990-12-25 00:00:00;0;1;6;18
07027;1990-12-01 00:00:00;;1018.7;4.8;3.5;7.5;2.2;7.7;56;12;64;0;0;31;0;31;31;;;;;0;;4;1;0;;;;;;19;5;0;0;1;1;10.8;1990-12-29 00:00:00;-0.7;1990-12-06 00:00:00;13.2;1990-12-29 00:00:00;-4.3;1990-12-07 00:00:00;12.1;1990-12-25 00:00:00;29;1990-12-25 00:00:00;1;1;6;18
07037;1990-12-01 00:00:00;999.1;1018.6;2.8;3.5;5.5;0.4;7;72;10;27;31;31;31;31;31;31;;;;;2;13;7;2;0;;2;1;;;20;2;0;0;0;6;9.9;1990-12-29 00:00:00;-3.2;1990-12-07 00:00:00;11.8;1990-12-29 00:00:00;-6.4;1990-12-07 00:00:00;12.6;1990-12-26 00:00:00;25;1990-12-26 00:00:00;1;1;6;18
07110;1990-12-01 00:00:00;1007.2;1020;6;;;;7.6;135;14;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1990-12-01 00:00:00;1008.3;1019.5;3.8;3.4;6.1;1.7;7.3;42;9;;31;31;31;31;31;0;;;;;0;13;3;;;;2;2;;;17;4;0;0;0;2;11.6;1990-12-29 00:00:00;-1.2;1990-12-07 00:00:00;13.5;1990-12-29 00:00:00;-4;1990-12-07 00:00:00;7.2;1990-12-31 00:00:00;26;1990-12-26 00:00:00;;;6;18
07190;1990-12-01 00:00:00;996.6;1015.8;1.7;;;;5.6;52;8;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07207;1990-12-01 00:00:00;;1020.2;7.4;3.3;9.2;5.4;9.1;67;11;63;0;31;31;31;31;31;;;;;;;5;2;0;;;;;;28;9;1;;;;11.9;1990-12-29 00:00:00;0.8;1990-12-17 00:00:00;12.5;1990-12-28 00:00:00;0.2;1990-12-17 00:00:00;14.1;1990-12-26 00:00:00;33;1990-12-25 00:00:00;0;1;6;18
07222;1990-12-01 00:00:00;1017.2;1020.6;4.6;;;;7.9;78;9;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
